Id,SalePrice
1461,127460.14490780697
1462,160356.81195376883
1463,194838.91882704612
1464,202721.94869720776
1465,181859.4610496307
1466,177528.8461842826
1467,180712.25503728684
1468,166608.33119590057
1469,188818.7113189241
1470,122338.74281255953
1471,206739.8488302573
1472,98377.75308847954
1473,97978.60385968075
1474,150586.5550780565
1475,114642.46170595307
1476,375584.5486156726
1477,241009.6060780771
1478,284587.42009487684
1479,294804.57147511427
1480,525647.849211073
1481,321661.4972911873
1482,211103.6077465672
1483,179337.37060611654
1484,162648.23748739593
1485,172931.6892399696
1486,195435.2410486713
1487,333968.1304068045
1488,229864.91295469514
1489,199544.4526988744
1490,240888.56876658872
1491,189863.2776219946
1492,99160.42938108854
1493,186196.0801240218
1494,288243.9271055352
1495,287515.45529557636
1496,233218.2684786099
1497,186350.75090362597
1498,163839.11021851408
1499,158249.5297345557
1500,159382.0261137652
1501,179747.98852306948
1502,147772.11336366256
1503,291305.20949627087
1504,243961.64508358843
1505,225927.5048698431
1506,192538.8764039672
1507,260748.79829914667
1508,202524.74869491477
1509,156984.8289786136
1510,145686.06187496422
1511,152848.36292544293
1512,175365.52258765185
1513,145081.6280175064
1514,153623.88013519603
1515,203876.90731955206
1516,148906.3964226977
1517,168789.17399939575
1518,132818.87550405884
1519,218012.05835453453
1520,132025.30106105938
1521,137456.7941858608
1522,175885.30424288707
1523,115244.09811920456
1524,121858.53825815662
1525,124463.56137126598
1526,116004.17426524547
1527,110224.07298977018
1528,130224.30979634615
1529,141403.5072292361
1530,188203.0699549775
1531,106058.87394851632
1532,94691.62672268064
1533,146598.29701780353
1534,120570.30177217785
1535,157666.04385326564
1536,109763.77928214078
1537,71263.05927442189
1538,142737.767550676
1539,180726.05241280262
1540,94332.24786354025
1541,137739.2413658118
1542,138297.71160942278
1543,204436.1255934353
1544,85179.67823226696
1545,109720.09998953705
1546,127091.52893426547
1547,130766.93707431052
1548,135214.13837707747
1549,116265.9752840494
1550,138270.9034549233
1551,108204.51672409468
1552,143476.42014851276
1553,143128.07167138008
1554,115883.51910813763
1555,172095.5641179697
1556,87498.25114996945
1557,100898.87247064462
1558,99187.74554035482
1559,85210.07618847376
1560,132876.41878805682
1561,120610.54556172693
1562,134186.9408319221
1563,124572.70516693263
1564,163111.93894629533
1565,148473.82907808837
1566,264811.4584837535
1567,79507.17483918108
1568,233766.15929506812
1569,137263.59934421635
1570,139580.1233417461
1571,119894.82813608462
1572,143763.14933179572
1573,252068.0743475045
1574,121426.01033298217
1575,227095.70898331184
1576,253714.41719693833
1577,189022.19513510296
1578,141306.15385076322
1579,149389.685097971
1580,194326.01738275337
1581,158876.4892831606
1582,127617.78343203999
1583,314615.87430644454
1584,227028.632113207
1585,137308.22393753755
1586,76816.14654047572
1587,100715.80354524625
1588,150926.1454487116
1589,92725.72830426581
1590,130134.4290297939
1591,97402.61996265844
1592,113264.02256739992
1593,122713.71758315344
1594,132072.43537837954
1595,118376.32742410222
1596,237943.20697366633
1597,195694.4664736783
1598,219047.77818729056
1599,169182.46242112713
1600,157850.15469150955
1601,69686.80489570211
1602,116554.54927564274
1603,85134.16476057473
1604,266506.1792292112
1605,242159.81814862558
1606,167037.90868064022
1607,175201.98599128728
1608,214000.20247416766
1609,187474.4305198092
1610,154468.03352821682
1611,140869.69462799566
1612,172380.88880783558
1613,168819.92592162394
1614,124764.61800035746
1615,87996.23777607482
1616,74699.47326009489
1617,93221.36159829728
1618,128752.00696503175
1619,142679.20462456252
1620,179472.78960306366
1621,143271.44807393462
1622,141286.86875100434
1623,273564.3243532518
1624,217645.82432860267
1625,117707.17707280352
1626,167954.5400719373
1627,197018.8620173341
1628,280561.0376105718
1629,177615.0062994046
1630,364416.1267651287
1631,203285.03760370697
1632,225967.49779955533
1633,163749.9359828352
1634,189946.38790133974
1635,174766.88536687903
1636,151983.79528562777
1637,204133.45778006857
1638,182914.0684874403
1639,192005.9535540549
1640,258635.86133389606
1641,187571.77832140605
1642,242918.13759762573
1643,221042.82106740036
1644,236005.19780046117
1645,199464.73502804333
1646,160573.0209101854
1647,159121.82604021084
1648,134544.8369925461
1649,140180.8586734687
1650,115718.28324953199
1651,127326.51379873184
1652,98295.3597087398
1653,100902.19768141999
1654,145173.82708727586
1655,139980.7376284778
1656,141370.78129017248
1657,143708.54057343095
1658,143844.03056852968
1659,117348.15784987347
1660,163223.2372218948
1661,470983.6931267083
1662,424810.5489447992
1663,398015.52892199275
1664,543634.6580213818
1665,316698.68828832847
1666,337148.35280806944
1667,387629.9552398181
1668,346463.1291293822
1669,299704.5269400119
1670,346354.50810776965
1671,252533.16594709436
1672,486303.78811310686
1673,285896.9097237467
1674,242070.94410379964
1675,196972.21831157143
1676,196141.6994948521
1677,220120.62259523652
1678,477116.5386938899
1679,416749.74016104103
1680,337900.59561676893
1681,248469.5946669156
1682,309783.4745344699
1683,180420.98711821414
1684,169707.5267012278
1685,171131.182362339
1686,168077.99076009082
1687,161853.34555985272
1688,189233.75281556253
1689,196576.13223976025
1690,194161.48454101497
1691,181173.01233097678
1692,263589.55743363115
1693,156081.98834961455
1694,180304.5808517292
1695,161194.09043133567
1696,265539.6988918221
1697,166521.89140555137
1698,349986.1627902929
1699,311137.79780899046
1700,249471.54916135495
1701,265753.1253819321
1702,240747.85319633645
1703,237711.13464968532
1704,276658.0581286171
1705,229691.11101291844
1706,486912.7426247327
1707,212971.99588210823
1708,205696.2030591506
1709,265473.13283098035
1710,225426.37965279815
1711,271514.01888605615
1712,267689.00160554703
1713,289921.9335985397
1714,219399.5379655929
1715,202576.32483724412
1716,182623.45911851345
1717,171299.356203927
1718,136720.67851969384
1719,199411.79095189128
1720,238202.08980996622
1721,161784.0843189429
1722,131972.8972481629
1723,159679.19900348102
1724,210996.60301116292
1725,233872.0388449591
1726,192733.4915544715
1727,164718.3115433586
1728,178185.4649077173
1729,165356.08984336478
1730,157648.9400770705
1731,125500.41678906878
1732,131708.55006598696
1733,118703.078264112
1734,124519.91017297767
1735,132564.720893447
1736,113829.76157257061
1737,297881.4368464578
1738,231834.41449186683
1739,256286.97040376771
1740,236429.04392765608
1741,197867.83410986362
1742,174432.1209562783
1743,180357.42107190166
1744,316074.465942201
1745,198767.1668782699
1746,186110.10312157715
1747,207463.01627599873
1748,239667.33790524575
1749,151138.67958168546
1750,126700.4956472119
1751,250795.9599154914
1752,120945.5963415921
1753,153168.4101765619
1754,198782.66615322704
1755,169439.1530702639
1756,127738.6158800821
1757,123130.01179149648
1758,144022.46475976234
1759,162360.2829786323
1760,167324.0876201213
